seller_id,seller_city,seller_state,total_orders,unique_products,total_revenue,avg_price,avg_rating,avg_delivery_days,late_delivery
0509040ea3fe50071181bbc359eb7738,belo horizonte,MG,89,34,3737.95,38.14,4.50,11.0,6.12
052577151711aec5c744fe12e66db3e1,rodeio,SC,4,1,2748.00,687.00,2.25,14.0,0.00
054694fa03fe82cec4b7551487331d74,itajobi,SP,21,15,9983.10,453.78,3.36,29.7,27.27
056b4ada5bbc2c50cc7842547dda6b51,queimados,RJ,65,23,12333.39,186.87,4.12,12.3,10.61
0570350b23eda5444f8d1d9544932058,sao paulo,SP,6,3,626.90,56.99,5.00,4.0,0.00
05730013efda596306417c3b09302475,criciuma,SC,4,4,952.00,238.00,5.00,9.0,0.00
058cb5aeb36d7c0fcae20fc85d5e0a59,rio de janeiro,RJ,12,8,1328.00,102.15,3.38,9.3,7.69
058fd0aa2bfdb2274e05e1ae971dabb6,santo andre,SP,61,11,7667.90,119.81,4.39,9.8,7.81
05a48cc8859962767935ab9087417fbb,sao paulo,SP,1,1,42.90,42.90,5.00,11.0,0.00
05a940b4ecae36cadfd8e93bd9c43257,goiania,GO,10,9,952.00,95.20,3.90,13.8,0.00
05aebce0b5c8f0d41b29b686f2d05fd3,sao paulo,SP,2,2,74.99,37.50,5.00,5.5,50.00
05ca864204d09595ae591b93ea9cf93d,barueri,SP,1,1,179.90,179.90,5.00,5.0,100.00
05d2173d43ea568aa0540eba70d2ca76,alfenas,MG,62,48,5759.66,87.27,4.00,14.3,6.06
05e107217c7266362fd44b75b2cd4cc4,sao paulo - sp,SP,5,3,193.38,24.17,4.13,6.4,50.00
05f51e13da97139648b8125c31e5f51b,belo horizonte,MG,60,21,13769.01,218.56,4.10,11.9,14.29
05feb94f19d094d4b0f9281f0b1d4c99,mogi das cruzes,SP,6,2,9353.00,1558.83,4.50,14.8,0.00
05ff92fedb5be47920fea08e501238b9,santo angelo,RS,59,16,21992.78,354.72,4.21,11.8,4.84
062c325cd6a2b87845fab56b4ec2eeae,sao paulo,SP,2,2,133.22,66.61,5.00,5.0,0.00
062ce95fa2ad4dfaedfc79260130565f,lajeado,RS,55,14,7521.00,125.35,3.97,12.7,3.33
06532f10282704ef4c69168b914b77be,paincandu,PR,8,8,10220.50,1135.61,4.22,16.1,0.00
06579cb253ecd5a3a12a9e6eb6bf8f47,sao paulo - sp,SP,62,11,4727.20,65.66,3.76,10.5,15.28
066a6914e1ebf3ea95a216c73a986b91,foz do iguacu,PR,68,44,9410.38,127.17,3.97,13.6,4.05
0691148aee60ca47977c187804f935ae,londrina,PR,47,37,5868.51,110.73,3.99,12.6,3.77
0692610d8abe24f287e9fae90ea0bbee,sao paulo,SP,4,3,173.99,43.50,4.00,6.3,25.00
06a2c3af7b3aee5d69171b0e14f0ee87,sao luis,MA,392,44,36408.95,89.90,4.00,17.3,23.46
06bb3a2fe5e7b7a845b13e8fb91bd944,belo horizonte,MG,17,14,1536.19,85.34,4.61,8.3,0.00
06df0c10d34e459d9672bc77388742eb,maringa,PR,26,1,9070.00,302.33,4.37,9.2,10.00
06e5eefc71ec47ae763c5c6f8db7064f,porto alegre,RS,92,35,22188.56,233.56,3.90,10.5,2.11
07017df32dc5f2f1d2801e579548d620,joao pessoa,PB,8,3,946.49,105.17,4.11,9.7,0.00
070d165398b553f3b4b851c216b8a358,sao paulo,SP,32,11,3393.16,87.00,3.50,10.6,12.82
0725b8c0f3f906e58f70cbe76b7c748c,guarulhos,SP,17,15,2190.30,59.20,3.58,11.2,18.92
0743a0239d764b9a0f959a57d07e36ab,sao paulo,SP,4,2,336.96,84.24,4.75,4.8,0.00
0747d5bb69f0586cc869d8af4c50f93e,saquarema,RJ,14,10,346.60,23.11,3.47,13.8,6.67
0761743cbffb25d7148189e9f1a5f03a,ribeirao preto,SP,3,3,241.20,34.46,4.29,13.9,0.00
077c5fae4bea9500e3737b16f71b9d3a,sorocaba,SP,4,3,106.80,17.80,4.67,7.5,0.00
0791d9fc1e30678ecf03d3e55fa108d3,belo horizonte,MG,5,5,842.00,76.55,2.73,5.7,0.00
079d295dcbf06ee8bb1b65ba964eb2b6,sao paulo,SP,5,3,349.30,34.93,4.80,6.3,0.00
07a9bc7f61396b658ddf3ac534efe44c,sao paulo,SP,1,1,119.90,119.90,3.50,5.0,0.00
07bf9669d84d1f11be443a9dd938f698,sao paulo,SP,18,11,1776.00,74.00,3.25,8.3,0.00
07d75e33f2750d97d467fb57e4dfdd8a,sao paulo,SP,2,2,722.40,361.20,2.50,11.5,0.00
07de60b03d150fb3ea09eab5da5e4c8b,ibitinga,SP,9,4,719.10,79.90,4.33,12.9,11.11
07e8e8fc5222bb358e6f259da3197074,sao paulo,SP,2,2,51.80,25.90,4.00,8.0,0.00
080102cd0a76b09e0dcf55fcacc60e05,belo horizonte,MG,124,43,5716.78,43.98,4.49,9.3,3.85
080199a181c46c657dc5aa235411be3b,osasco,SP,79,40,14504.20,174.75,4.61,7.6,2.41
08061dc0fc165ed41288cc7acde738ee,osasco,SP,4,3,123.80,30.95,4.50,19.5,25.00
08084d990eb3f53af056ccbc1730c8a7,sao paulo,SP,12,3,372.50,31.04,4.45,8.0,0.00
081acf3de680d554796c9cf041be7bc2,vespasiano,MG,4,4,1597.30,199.66,4.13,13.1,12.50
082e0bf4cb865a6533b1e8e498cc0255,botucatu,SP,11,17,2073.30,90.14,3.30,12.7,13.04
085f6f7e049c996695fb2074fe38d45e,taubate,SP,6,6,305.40,38.18,3.63,10.1,0.00
08633c14ef2db992c11f840f04fad4cd,ribeirao pires,SP,74,16,7644.30,78.81,4.24,9.7,6.19
0873d9f8f36123f8d910f4760e788cfb,barueri,SP,6,6,7265.59,1210.93,3.17,12.8,50.00
0885aaf116795758dfeb5f1032487bcd,ferraz de vasconcelos,SP,28,20,2648.00,88.27,4.20,5.2,3.33
